pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
1137372,,bse_fo,SO,HCLTECH,HCLTECH26JUL1220PE,PE,HCLTECH30JUL261220.00PE,,532281,,,HCLTECH26JUL1220PE,,,5,400,1785436199,1,2,122000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,400,0,14055,4700,1,1,1,0,0,1,0,-1,1,0,21000
1137378,,bse_fo,SO,GMRAIRPORT,GMRAIRPORT26JUL93PE,PE,GMRAIRPORT30JUL2693.00PE,,532754,,,GMRAIRPORT26JUL93PE,,,5,6975,1785436199,1,2,9300,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,6975,0,720,120,1,1,1,0,0,1,0,-1,1,0,675000
1137380,,bse_fo,SO,HAL,HAL26JUL4500PE,PE,HAL30JUL264500.00PE,,541154,,,HAL26JUL4500PE,,,5,150,1785436199,1,2,450000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,150,0,50630,14225,1,1,1,0,0,1,0,-1,1,0,9000
1137394,,bse_fo,SO,WIPRO,WIPRO26JUL212.5CE,CE,WIPRO30JUL26212.50CE,,507685,,,WIPRO26JUL212.5CE,,,5,3000,1785436199,1,2,21250,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,3000,0,670,5,1,1,1,0,0,1,0,-1,1,0,60000
1137407,,bse_fo,SO,ONGC,ONGC26JUL282.5CE,CE,ONGC30JUL26282.50CE,,500312,,,ONGC26JUL282.5CE,,,5,2250,1785436199,1,2,28250,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,2250,0,3880,1020,1,1,1,0,0,1,0,-1,1,0,154000
1137411,,bse_fo,SO,GODREJPROP,GODREJPROP26JUL1920CE,CE,GODREJPROP30JUL261920.00CE,,533150,,,GODREJPROP26JUL1920CE,,,5,325,1785436199,1,2,192000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,325,0,10020,5,1,1,1,0,0,1,0,-1,1,0,19000
1137421,,bse_fo,SF,INDIGO,INDIGO26JULFUT,XX,INDIGO30JUL26FUT,,539448,,,INDIGO26JULFUT,,,5,150,1785436199,1,2,0,BSE,SF,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,150,0,475525,389065,1,1,1,0,0,1,0,-1,1,0,12000
1137428,,bse_fo,SO,NUVAMA,NUVAMA26JUL1420CE,CE,NUVAMA30JUL261420.00CE,,543988,,,NUVAMA26JUL1420CE,,,5,500,1785436199,1,2,142000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,500,0,21620,3350,1,1,1,0,0,1,0,-1,1,0,100000000
1137432,,bse_fo,SO,TITAN,TITAN26JUL4350PE,PE,TITAN30JUL264350.00PE,,500114,,,TITAN26JUL4350PE,,,5,175,1785436199,1,2,435000,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,175,0,40010,12120,1,1,1,0,0,1,0,-1,1,0,11250
1137449,,bse_fo,SO,AMBUJACEM,AMBUJACEM26JUL455CE,CE,AMBUJACEM30JUL26455.00CE,,500425,,,AMBUJACEM26JUL455CE,,,5,1200,1785436199,1,2,45500,BSE,SO,1785436199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1785369600,1785369600,,,,,Physical,,0,1,0.00,1200,0,2950,70,1,1,1,0,0,1,0,-1,1,0,54000
