pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
1100063,,bse_fo,SO,AMBER,AMBER26MAY5600PE,PE,AMBER27MAY265600.00PE,,540902,,,AMBER26MAY5600PE,,,5,100,1779906599,1,2,560000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,100,0,2020,5,1,1,1,0,0,1,0,-1,1,0,100000000
1100077,,bse_fo,SO,HINDZINC,HINDZINC26MAY465PE,PE,HINDZINC27MAY26465.00PE,,500188,,,HINDZINC26MAY465PE,,,5,1225,1779906599,1,2,46500,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,1225,0,295,5,1,1,1,0,0,1,0,-1,1,0,100000000
1100080,,bse_fo,SO,IREDA,IREDA26MAY106CE,CE,IREDA27MAY26106.00CE,,544026,,,IREDA26MAY106CE,,,5,3450,1779906599,1,2,10600,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,3450,0,4185,185,1,1,1,0,0,1,0,-1,1,0,100000000
1100085,,bse_fo,SO,SHRIRAMFIN,SHRIRAMFIN26MAY820CE,CE,SHRIRAMFIN27MAY26820.00CE,,511218,,,SHRIRAMFIN26MAY820CE,,,5,825,1779906599,1,2,82000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,825,0,19290,2415,1,1,1,0,0,1,0,-1,1,0,18000
1100181,,bse_fo,SO,IRFC,IRFC26MAY85PE,PE,IRFC27MAY2685.00PE,,543257,,,IRFC26MAY85PE,,,5,4250,1779906599,1,2,8500,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,4250,0,2000,5,1,1,1,0,0,1,0,-1,1,0,100000000
1100198,,bse_fo,SO,UNITDSPR,UNITDSPR26MAY1210CE,CE,UNITDSPR27MAY261210.00CE,,532432,,,UNITDSPR26MAY1210CE,,,5,400,1779906599,1,2,121000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,400,0,17655,1790,1,1,1,0,0,1,0,-1,1,0,28000
1100216,,bse_fo,SO,MARICO,MARICO26MAY690CE,CE,MARICO27MAY26690.00CE,,531642,,,MARICO26MAY690CE,,,5,1200,1779906599,1,2,69000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,1200,0,18480,9975,1,1,1,0,0,1,0,-1,1,0,48000
1100255,,bse_fo,SO,SBIN,SBIN26MAY995PE,PE,SBIN27MAY26995.00PE,,500112,,,SBIN26MAY995PE,,,5,750,1779906599,1,2,99500,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,750,0,9830,5,1,1,1,0,0,1,0,-1,1,0,45000
1100277,,bse_fo,SO,GMRAIRPORT,GMRAIRPORT26MAY80CE,CE,GMRAIRPORT27MAY2680.00CE,,532754,,,GMRAIRPORT26MAY80CE,,,5,6975,1779906599,1,2,8000,BSE,SO,1779906599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1779840000,1779840000,,,,,Physical,,0,1,0.00,6975,0,3430,5,1,1,1,0,0,1,0,-1,1,0,675000
1100286,,bse_fo,IO,SENSEX,SENSEX30JUN68000CE,CE,SENSEX27JUN3068000.00CE,,1,,,SENSEX30JUN68000CE,,,5,20,1908815399,1,2,6.8e+06,BSE,IO,1908815399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1908748800,1908748800,,,,,Cash,,0,1,0.00,20,0,2.62608e+06,2.10226e+06,1,1,1,0,0,1,0,-1,1,0,1000
