pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,CASEligible
1105117,,bse_fo,SO,CHOLAFIN,CHOLAFIN26NOV1740CE,CE,CHOLAFIN26NOV261740.00CE,,511243,,,CHOLAFIN26NOV1740CE,,,5,625,1795717799,1,2,174000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,625,0,21200,3525,1,1,1,0,0,1,0,-1,1,0,25000,false
1112479,,bse_fo,SO,CAMS,CAMS26NOV680CE,CE,CAMS26NOV26680.00CE,,543232,,,CAMS26NOV680CE,,,5,825,1795717799,1,2,68000,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,825,0,10205,2415,1,1,1,0,0,1,0,-1,1,0,100000000,false
854921,,bse_fo,SO,TECHM,TECHM26SEP1460CE,CE,TECHM24SEP261460.00CE,,532755,,,TECHM26SEP1460CE,,,5,600,1790274599,1,2,146000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,600,0,20420,260,1,1,1,0,0,1,0,-1,1,0,24000,false
1101674,,bse_fo,SO,ONGC,ONGC26NOV227.5CE,CE,ONGC26NOV26227.50CE,,500312,,,ONGC26NOV227.5CE,,,5,2250,1795717799,1,2,22750,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,2250,0,2340,460,1,1,1,0,0,1,0,-1,1,0,154000,false
1123609,,bse_fo,IO,SENSEX,SENSEX26O2281700CE,CE,SENSEX22OCT2681700.00CE,,1,,,SENSEX26O2281700CE,,,5,20,1792693799,1,2,8.17e+06,BSE,IO,1792693799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1792627200,1792627200,,,,,Cash,,1,1,0.00,20,0,12720,5,1,1,1,0,0,1,0,-1,1,0,1000,false
1132297,,bse_fo,IO,BANKEX,BANKEX26SEP56600PE,PE,BANKEX24SEP2656600.00PE,,12,,,BANKEX26SEP56600PE,,,5,30,1790274599,1,2,5.66e+06,BSE,IO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Cash,,1,1,0.00,30,0,2005,5,1,1,1,0,0,1,0,-1,1,0,900,false
866593,,bse_fo,SO,TATACONSUM,TATACONSUM26OCT1130PE,PE,TATACONSUM29OCT261130.00PE,,500800,,,TATACONSUM26OCT1130PE,,,5,550,1793298599,1,2,113000,BSE,SO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Physical,,0,1,0.00,550,0,16235,6375,1,1,1,0,0,1,0,-1,1,0,36000,false
1121610,,bse_fo,SO,ONGC,ONGC26NOV255PE,PE,ONGC26NOV26255.00PE,,500312,,,ONGC26NOV255PE,,,5,2250,1795717799,1,2,25500,BSE,SO,1795717799,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1795651200,1795651200,,,,,Physical,,0,1,0.00,2250,0,4455,455,1,1,1,0,0,1,0,-1,1,0,154000,false
862349,,bse_fo,IO,SENSEX,SENSEX26OCT71400PE,PE,SENSEX29OCT2671400.00PE,,1,,,SENSEX26OCT71400PE,,,5,20,1793298599,1,2,7.14e+06,BSE,IO,1793298599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1793232000,1793232000,,,,,Cash,,0,1,0.00,20,0,67160,5,1,1,1,0,0,1,0,-1,1,0,1000,false
1129001,,bse_fo,SO,HDFCBANK,HDFCBANK26SEP620PE,PE,HDFCBANK24SEP26620.00PE,,500180,,,HDFCBANK26SEP620PE,,,5,650,1790274599,1,2,62000,BSE,SO,1790274599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1790208000,1790208000,,,,,Physical,,0,1,0.00,650,0,2030,5,1,1,1,0,0,1,0,-1,1,0,16500,false
