pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
829065,,bse_fo,SO,UNOMINDA,UNOMINDA26AUG1020PE,PE,UNOMINDA27AUG261020.00PE,,532539,,,UNOMINDA26AUG1020PE,,,5,550,1787855399,1,2,102000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,550,0,3715,5,1,1,1,0,0,1,0,-1,1,0,100000000
829074,,bse_fo,SF,WIPRO,WIPRO26AUGFUT,XX,WIPRO27AUG26FUT,,507685,,,WIPRO26AUGFUT,,,5,3000,1787855399,1,2,0,BSE,SF,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,3000,0,19145,15660,1,1,1,0,0,1,0,-1,1,0,60000
829076,,bse_fo,SO,NYKAA,NYKAA26AUG275PE,PE,NYKAA27AUG26275.00PE,,543384,,,NYKAA26AUG275PE,,,5,3125,1787855399,1,2,27500,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,3125,0,2155,5,1,1,1,0,0,1,0,-1,1,0,100000000
829079,,bse_fo,SF,OFSS,OFSS26AUGFUT,XX,OFSS27AUG26FUT,,532466,,,OFSS26AUGFUT,,,5,100,1787855399,1,2,0,BSE,SF,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,100,0,1.23381e+06,1.00948e+06,1,1,1,0,0,1,0,-1,1,0,8000
829089,,bse_fo,SO,LICHSGFIN,LICHSGFIN26AUG550CE,CE,LICHSGFIN27AUG26550.00CE,,500253,,,LICHSGFIN26AUG550CE,,,5,1000,1787855399,1,2,55000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,1000,0,3850,5,1,1,1,0,0,1,0,-1,1,0,60000
829101,,bse_fo,SO,LAURUSLABS,LAURUSLABS26AUG1410PE,PE,LAURUSLABS27AUG261410.00PE,,540222,,,LAURUSLABS26AUG1410PE,,,5,850,1787855399,1,2,141000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,850,0,6025,5,1,1,1,0,0,1,0,-1,1,0,68000
829123,,bse_fo,SO,MCX,MCX26AUG2850CE,CE,MCX27AUG262850.00CE,,534091,,,MCX26AUG2850CE,,,5,225,1787855399,1,2,285000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,225,0,29250,20,1,1,1,0,0,1,0,-1,1,0,16000
829130,,bse_fo,SO,HDFCLIFE,HDFCLIFE26AUG640PE,PE,HDFCLIFE27AUG26640.00PE,,540777,,,HDFCLIFE26AUG640PE,,,5,1100,1787855399,1,2,64000,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,1100,0,11320,5570,1,1,1,0,0,1,0,-1,1,0,44000
829142,,bse_fo,SO,MOTHERSON,MOTHERSON26AUG148CE,CE,MOTHERSON27AUG26148.00CE,,517334,,,MOTHERSON26AUG148CE,,,5,6150,1787855399,1,2,14800,BSE,SO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Physical,,0,1,0.00,6150,0,1170,5,1,1,1,0,0,1,0,-1,1,0,284000
829155,,bse_fo,IO,SENSEX,SENSEX26AUG72900CE,CE,SENSEX27AUG2672900.00CE,,1,,,SENSEX26AUG72900CE,,,5,20,1787855399,1,2,7.29e+06,BSE,IO,1787855399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1787788800,1787788800,,,,,Cash,,0,1,0.00,20,0,692765,220025,1,1,1,0,0,1,0,-1,1,0,1000
