Name,Order Date and Time,Product Type,Transaction Type,Total Quantity,Filled Quantity,Unfilled Quantity,Order Price,Average Price,Trigger Price,Status,Order Number
NIFTY 22650 CALL 24 MAR NSE,2026-3-23  3:19:30,NRML,SELL,1/1 Lots,65,0,126.00,126.00,0.00,COMPLETED,260323000598050
NIFTY 22650 CALL 24 MAR NSE,2026-3-23  3:18:11,NRML,BUY,1/1 Lots,65,0,Market price,125.70,0.00,COMPLETED,260323000596188
NIFTY 22650 CALL 24 MAR NSE,2026-3-23  3:18:5,NRML,SELL,0/1 Lots,0,65,Market price,0.00,0.00,REJECTED,260323000596039
NIFTY 22000 PUT 24 MAR NSE,2026-3-23  3:15:32,NRML,SELL,1/1 Lots,65,0,Market price,57.40,0.00,COMPLETED,260323000592187
NIFTY 23100 CALL 24 MAR NSE,2026-3-23  3:15:21,NRML,SELL,1/1 Lots,65,0,Market price,30.15,0.00,COMPLETED,260323000591897
NIFTY 22300 PUT 30 MAR NSE,2026-3-23  3:15:16,NRML,SELL,1/1 Lots,65,0,Market price,333.70,0.00,COMPLETED,260323000591755
NIFTY 22450 PUT 24 MAR NSE,2026-3-23  3:15:13,NRML,BUY,1/1 Lots,65,0,Market price,176.95,0.00,COMPLETED,260323000591669
NIFTY 22300 PUT 30 MAR NSE,2026-3-23  2:36:6,NRML,BUY,1/1 Lots,65,0,Market price,329.60,0.00,COMPLETED,260323000517135
NIFTY 22800 CALL 30 MAR NSE,2026-3-23  2:36:4,NRML,SELL,0/2 Lots,0,130,Market price,0.00,0.00,REJECTED,260323000517092
NIFTY 22450 PUT 24 MAR NSE,2026-3-23  1:48:6,NRML,SELL,1/1 Lots,65,0,Market price,167.10,0.00,COMPLETED,260323000436456
NIFTY 22650 CALL 24 MAR NSE,2026-3-23  1:48:4,NRML,BUY,1/1 Lots,65,0,Market price,182.25,0.00,COMPLETED,260323000436409
NIFTY 22800 CALL 30 MAR NSE,2026-3-23  1:45:9,NRML,BUY,0/2 Lots,0,130,Market price,0.00,0.00,REJECTED,260323000431513
NIFTY 22250 PUT 30 MAR NSE,2026-3-23  1:45:8,NRML,SELL,0/2 Lots,0,130,Market price,0.00,0.00,REJECTED,260323000431470
NIFTY 22250 PUT 30 MAR NSE,2026-3-23  12:54:4,NRML,BUY,0/2 Lots,0,130,Market price,0.00,0.00,REJECTED,260323000373512
NIFTY 22650 CALL 24 MAR NSE,2026-3-23  12:33:6,NRML,SELL,1/1 Lots,65,0,Market price,157.65,0.00,COMPLETED,260323000350320
NIFTY 22400 PUT 24 MAR NSE,2026-3-23  12:33:5,NRML,BUY,1/1 Lots,65,0,Market price,190.35,0.00,COMPLETED,260323000350296
NIFTY 22400 PUT 24 MAR NSE,2026-3-23  11:15:11,NRML,SELL,1/1 Lots,65,0,Market price,162.80,0.00,COMPLETED,260323000262257
NIFTY 22000 PUT 24 MAR NSE,2026-3-23  11:15:10,NRML,BUY,1/1 Lots,65,0,Market price,62.10,0.00,COMPLETED,260323000262237
NIFTY 23100 CALL 24 MAR NSE,2026-3-23  11:15:9,NRML,BUY,1/1 Lots,65,0,Market price,45.20,0.00,COMPLETED,260323000262223
